id;precio;metros_cuadrados_utiles;numero_baNos;numero_habitaciones;planta;antigUedad;aire_acondicionado_Si;ascensor_Si;piscina_Si;trastero_Si;garaje_Si;balcon_Si;jardin_Si;armarios_Si;poblacion_km2;renta_media_hogar;distancia_centro_Madrid_m;pois_comunitarios;pois_BigBusiness
12068;175000;47;1;3;2;55;False;False;False;False;False;False;False;False;6160;21522;8558;6;0
12069;177000;48;1;3;2;55;False;False;False;False;False;False;False;False;6160;21522;8558;6;0
12077;174500;51;1;3;2;55;False;False;False;False;False;False;False;False;6160;21522;8574;6;0
12081;174000;46;1;3;2;55;False;False;False;False;False;False;False;False;6160;21522;8558;6;0
12093;138000;58;1;4;1;65;False;False;False;False;False;False;False;False;6160;21522;8558;6;0
12128;68400;66;1;2;1;55;False;False;False;False;False;False;False;False;6160;21522;8473;6;0
12160;110000;65;1;3;5;62;False;True;False;False;False;False;False;False;6160;21522;8558;6;0
12177;200000;85;2;3;5;55;False;True;False;False;False;False;False;False;6160;21522;8558;6;0
12197;123000;62;1;3;2;55;False;False;False;False;False;False;False;False;6160;21522;8473;6;0
12207;133000;70;1;3;2;55;True;True;False;False;False;False;False;False;6160;21522;8574;6;0
12220;164500;58;1;3;1;67;True;False;False;False;False;False;False;False;6160;21522;8473;6;0
12235;399000;190;3;5;0;35;False;False;False;False;False;False;True;False;6160;21522;8558;6;0
12248;86000;51;1;3;1;55;False;False;False;False;False;False;False;False;6160;21522;8473;6;0
12263;65000;57;1;3;2;55;False;False;False;False;False;False;False;False;6160;21522;8558;6;0
12322;127500;59;1;2;2;55;False;False;False;False;False;False;False;False;6160;21522;8558;6;0
12346;100000;43;1;1;0;55;True;False;False;False;False;False;False;False;6160;21522;8558;6;0
12376;179000;62;1;3;4;65;False;False;False;False;False;False;False;True;6160;21522;8558;6;0
9510;194500;73;2;3;3;39;False;False;False;False;False;False;False;False;9316;21586;6395;3;0
18535;65000;49;1;2;1;38;False;False;True;False;False;False;True;False;74;21667;59454;0;0
17717;99000;109;1;3;0;17;False;False;False;False;False;False;False;False;23;21722;45548;0;0
17862;40000;106;1;3;2;35;False;False;False;False;False;False;False;False;23;21722;45215;4;0
18213;99000;97;2;3;0;17;False;False;False;False;False;False;False;False;23;21722;45548;0;0
18285;720000;877;4;3;0;35;False;False;True;True;True;True;True;True;23;21722;45308;4;0
833;730000;185;3;8;1;55;True;False;False;True;False;False;False;True;171;21725;16894;0;0
18537;95000;65;1;2;0;38;False;False;False;False;False;False;False;True;74;21808;60158;0;0
18555;120000;96;1;3;3;38;True;False;False;False;True;True;False;False;74;21808;60158;0;0
17435;300000;400;3;5;1;24;True;False;False;False;False;False;True;True;34;21953;56849;5;0
17436;150000;150;1;4;1;24;False;False;True;True;True;False;False;False;34;21953;56893;5;0
17454;90000;105;1;3;2;24;False;False;False;False;False;False;False;False;34;21953;56703;5;0
17471;124500;120;3;3;0;24;False;False;False;False;False;False;False;False;34;21953;56866;5;0
17482;90000;140;2;3;0;24;False;False;False;True;False;False;False;False;34;21953;56770;5;0
17498;135000;90;1;3;1;33;False;False;False;True;True;False;True;False;34;21953;57223;3;0
17508;99000;75;1;2;0;1;False;False;False;True;False;False;False;False;34;21953;56880;5;0
17514;135000;125;1;4;1;33;False;False;True;True;False;False;True;False;34;21953;56901;3;0
17539;121000;63;2;2;1;24;False;False;False;False;False;False;False;False;34;21953;56810;5;0
17613;179000;286;2;3;3;20;False;False;False;True;True;True;True;True;34;21953;56878;0;0
17630;106300;258;2;3;0;24;False;False;False;False;False;False;False;False;34;21953;56866;5;0
17655;134000;117;1;4;1;46;True;False;False;False;False;True;False;False;34;21953;57294;3;0
17687;40000;70;1;2;0;24;False;False;False;False;False;False;False;False;34;21953;56639;5;0
17710;179000;188;1;3;1;42;True;False;True;True;True;True;True;True;34;21953;56866;5;0
17794;200000;94;1;2;1;3;False;False;False;True;True;False;False;True;34;21953;56703;5;0
17865;109900;100;1;2;0;24;False;False;False;False;True;False;True;False;34;21953;56866;5;0
17944;375000;524;2;3;1;55;True;False;True;True;True;False;True;True;34;21953;56794;5;0
17945;85000;113;1;2;2;24;False;False;False;False;False;False;False;False;34;21953;56794;5;0
18050;200000;94;1;2;1;3;False;False;False;True;True;False;False;False;34;21953;56647;5;0
18243;170000;282;3;5;1;27;True;True;False;True;False;False;False;True;34;21953;56849;5;0
9585;77300;97;1;3;4;55;False;False;False;False;False;False;False;False;9316;22061;4999;9;0
9607;180000;101;2;4;2;55;True;True;False;False;False;False;False;True;9316;22061;4837;9;0
9650;159000;64;1;3;3;53;True;False;False;False;False;False;False;False;9316;22061;5113;9;0
4885;190000;55;1;2;0;69;False;True;False;False;False;False;False;False;24;22180;55266;3;0
