id;latitud;longitud;distancia_metros_sol
9934;40,38911215;-3,661342475;4725,9
9935;40,3739638;-3,6704247;5540,43
9936;40,3922796;-3,6674239;4106,64
9937;40,3739638;-3,6704247;5540,43
9938;40,3904768;-3,6688222;4158,68
9939;40,3868141;-3,669840343;4399,87
9940;40,39041658;-3,642763968;5930,38
9941;40,4038439;-3,657802;4136,06
9942;40,3974903;-3,6644994;3949,25
9943;40,39825008;-3,660958233;4160,46
9944;40,39688389;-3,657586818;4483,68
9945;40,40197643;-3,661184262;3952,26
9946;40,38394641;-3,64609643;6091,77
9947;40,3868601;-3,6591803;5028,78
9948;40,38058311;-3,638977056;6798,68
9949;40,389923;-3,653236779;5211,34
9950;40,3868601;-3,6591803;5028,78
9951;40,39956074;-3,658889855;4244,71
9952;40,39144719;-3,636674392;6330,69
9953;40,3993657;-3,664381;3847,6
9954;40,139117;-3,6547366;31168,84
9955;40,3911414;-3,667245;4203,3
9956;40,39873636;-3,665165692;3827,09
9957;40,3737189;-3,626932113;8072,87
9958;40,38369505;-3,673023068;4509,83
9959;40,3879612;-3,6536704;5310,9
9960;40,3821341;-3,6664303;4984,75
9961;40,38568368;-3,668070624;4592,86
9962;40,384139;-3,6680301;4726,38
9963;40,3918668;-3,636100431;6353,55
9964;40,3850948;-3,6376752;6605,48
9965;40,38394641;-3,64609643;6091,77
9966;40,39688389;-3,657586818;4483,68
9967;40,3921259;-3,6702318;3944,82
9968;40,3969714;-3,6594559;4342,12
9969;40,384139;-3,6680301;4726,38
9970;40,3790195;-3,6600461;5598,01
9971;40,39209529;-3,663592485;4366,46
9972;40,393666;-3,657956;4646,09
9973;40,3925989;-3,664023;4302,83
9974;40,380906;-3,634480596;7088,03
9975;40,3918555;-3,66833335;4081,74
9976;40,3925285;-3,6700813;3922,82
9977;40,38040185;-3,637771172;6892,91
9978;40,3882488;-3,6504326;5512,74
9979;40,38627997;-3,655610428;5299,62
9980;40,39606667;-3,669387525;3707,14
9981;40,3911067;-3,6686157;4121,93
9982;40,38895472;-3,669201324;4258,17
9983;40,39257065;-3,670065233;3920,56
9984;40,4182942;-3,6740052;2503,49
9985;40,33281135;-3,84294105;15066,35
9986;40,42111572;-3,663210908;3444,12
9987;40,4111495;-3,6760566;2413,02
9988;40,4111495;-3,6760566;2413,02
9989;40,4157858;-3,6800067;1995,1
9990;40,41708709;-3,688874444;1240,31
9991;40,40383696;-3,677092635;2670,53
9992;40,42256619;-3,678854399;2179,99
9993;40,40264405;-3,675516284;2855,03
9994;40,40519869;-3,677067059;2592,86
9995;40,4035403;-3,679671348;2509,88
9996;40,4189526;-3,6737251;2532,56
9997;40,4111495;-3,6760566;2413,02
9998;40,4189526;-3,6737251;2532,56
9999;40,4111495;-3,6760566;2413,02
10000;40,4127571;-3,6902954;1212,81
10001;40,41807484;-3,673857544;2514,64
10002;40,4189526;-3,6737251;2532,56
10003;40,4166599;-3,674540437;2453,9
10004;40,40298775;-3,671467788;3126,38
10005;40,4183416;-3,6746229;2451,63
10006;40,4111495;-3,6760566;2413,02
10007;40,4111495;-3,6760566;2413,02
10008;40,4111495;-3,6760566;2413,02
10009;40,4189526;-3,6737251;2532,56
10010;40,4111495;-3,6760566;2413,02
10011;40,4189526;-3,6737251;2532,56
10012;40,403496;-3,672260852;3040,07
10013;40,40825335;-3,680330539;2188,49
10014;40,4160929;-3,6892674;1210,64
10015;40,41666709;-3,672911813;2591,76
10016;40,4189526;-3,6737251;2532,56
10017;40,4111495;-3,6760566;2413,02
10018;40,4091686;-3,6696989;2991,37
10019;40,4152822;-3,6887684;1262,78
10020;40,4189526;-3,6737251;2532,56
10021;40,3945278;-3,6837102;3004,48
10022;40,4111495;-3,6760566;2413,02
10023;40,42111572;-3,663210908;3444,12
10024;40,4201916;-3,672646354;2638,82
10025;40,4019026;-3,6709579;3224,84
10026;40,55588265;-3,32426695;35600,81
10027;40,41807484;-3,673857544;2514,64
10028;40,4189526;-3,6737251;2532,56
10029;40,4189526;-3,6737251;2532,56
10030;40,4189526;-3,6737251;2532,56
10031;40,45651009;-3,445982201;22236,14
10032;40,40487866;-3,675620803;2716,75
10033;40,4013961;-3,6748832;2978,07
10034;40,4111495;-3,6760566;2413,02
10035;40,41936357;-3,674579195;2465,11
10036;40,4125735;-3,6890288;1319,86
10037;40,41807484;-3,673857544;2514,64
10038;40,42283033;-3,677405738;2305,91
10039;40,4189526;-3,6737251;2532,56
10040;40,4013961;-3,6748832;2978,07
10041;40,18885569;-3,772480002;26027,52
10042;40,418309;-3,6736927;2530
10043;40,41807484;-3,673857544;2514,64
10044;40,40459895;-3,680303977;2397,69
10045;40,418775;-3,6763941;2305,75
10046;40,4111495;-3,6760566;2413,02
10047;40,35169491;-3,68866936;7363,53
10048;40,4189526;-3,6737251;2532,56
10049;40,4189526;-3,6737251;2532,56
10050;40,41936357;-3,674579195;2465,11
10051;40,42283033;-3,677405738;2305,91
10052;40,4040429;-3,6807522;2403,07
10053;40,40271375;-3,671781505;3118,7
10054;40,49311725;-3,8658013;16132,71
10055;40,41292276;-3,669775188;2891,95
10056;40,4111495;-3,6760566;2413,02
10057;40,40531158;-3,678615237;2473,92
10058;40,4183416;-3,6746229;2451,63
10059;40,4013961;-3,6748832;2978,07
10060;40,4013961;-3,6748832;2978,07
10061;40,4183416;-3,6746229;2451,63
10062;40,4038646;-3,677642594;2629,93
10063;40,4019026;-3,6709579;3224,84
10064;40,4189526;-3,6737251;2532,56
10065;40,4189526;-3,6737251;2532,56
10066;40,4111495;-3,6760566;2413,02
10067;40,4189526;-3,6737251;2532,56
10068;40,4110941;-3,6737205;2605,69
10069;40,40254454;-3,682887655;2369,83
10070;40,4111495;-3,6760566;2413,02
10071;40,4152822;-3,6887684;1262,78
10072;40,4160929;-3,6892674;1210,64
10073;40,4134344;-3,6903574;1180,99
10074;40,41804626;-3,689710372;1175,85
10075;40,4189526;-3,6737251;2532,56
10076;40,4189526;-3,6737251;2532,56
10077;40,4019026;-3,6709579;3224,84
10078;40,42283033;-3,677405738;2305,91
10079;40,4183416;-3,6746229;2451,63
10080;40,4189526;-3,6737251;2532,56
10081;40,4110941;-3,6737205;2605,69
10082;40,41807484;-3,673857544;2514,64
10083;40,41804626;-3,689710372;1175,85
10084;40,4160929;-3,6892674;1210,64
10085;40,4111495;-3,6760566;2413,02
10086;40,4189526;-3,6737251;2532,56
10087;40,4111495;-3,6760566;2413,02
10088;40,41292276;-3,669775188;2891,95
10089;40,42283033;-3,677405738;2305,91
10090;40,42283033;-3,677405738;2305,91
10091;40,41654731;-3,690516888;1102,04
10092;40,41807484;-3,673857544;2514,64
10093;40,4119861;-3,675643;2423,94
10094;40,4183416;-3,6746229;2451,63
10095;40,40374908;-3,682766286;2289,34
10096;40,42091996;-3,683644633;1740,04
10097;40,4160929;-3,6892674;1210,64
10098;40,4111495;-3,6760566;2413,02
10099;40,4117618;-3,6669977;3145,57
10100;40,51833137;-3,921391047;21604,96
10101;40,40536736;-3,684497564;2061,96
10102;40,42091996;-3,683644633;1740,04
10103;40,49311725;-3,8658013;16132,71
10104;40,42091996;-3,683644633;1740,04
10105;40,41804626;-3,689710372;1175,85
10106;40,417027;-3,675094;2406,85
10107;40,4019026;-3,6709579;3224,84
10108;40,40523667;-3,676912763;2602,04
10109;40,40519869;-3,677067059;2592,86
10110;40,4189526;-3,6737251;2532,56
10111;40,40536736;-3,684497564;2061,96
10112;40,4214328;-3,676759;2320,15
10113;40,41666709;-3,672911813;2591,76
10114;40,4189526;-3,6737251;2532,56
10115;40,41807484;-3,673857544;2514,64
10116;40,41804626;-3,689710372;1175,85
10117;40,4160929;-3,6892674;1210,64
10118;40,4110941;-3,6737205;2605,69
10119;40,42111572;-3,663210908;3444,12
10120;40,4183416;-3,6746229;2451,63
10121;40,4183416;-3,6746229;2451,63
10122;40,4110941;-3,6737205;2605,69
10123;40,4028146;-3,6689091;3325,25
10124;40,4139555;-3,6900599;1187,29
10125;40,41734806;-3,671504869;2711,05
10126;40,42111572;-3,663210908;3444,12
10127;40,40555605;-3,679560468;2391,55
10128;40,40190575;-3,668814261;3381,16
10129;40,4208535;-3,677496;2245,92
10130;40,4056924;-3,67886182;2434,11
10131;40,4100084;-3,6734821;2657,74
10132;40,40487866;-3,675620803;2716,75
10133;40,4152822;-3,6887684;1262,78
10134;40,41348336;-3,676989086;2279,15
10135;40,4201916;-3,672646354;2638,82
10136;40,40734205;-3,67687945;2495,7
10137;40,4042973;-3,6811007;2362,52
10138;40,40446567;-3,674614453;2813,52
10139;40,4189526;-3,6737251;2532,56
10140;40,4078503;-3,6793543;2282,45
10141;40,4147661;-3,6903145;1144,21
10142;40,4111495;-3,6760566;2413,02
10143;40,41807484;-3,673857544;2514,64
10144;40,4111495;-3,6760566;2413,02
10145;40,41743765;-3,67743894;2208,99
10146;40,4160929;-3,6892674;1210,64
10147;40,4019026;-3,6709579;3224,84
10148;40,417071;-3,675661;2358,87
10149;40,40734205;-3,67687945;2495,7
